ObjectA,ObjectB,A2BDir,EffectType,Source,Target,VelChange
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,TUBE_SIDE_LEFT,R,None,None,None,None
TUBE_SIDE_LEFT,Mario,L,None,None,None,None
Mario,TUBE_TOP_LEFT,R,None,None,None,None
TUBE_TOP_LEFT,Mario,L,None,None,None,None
Mario,TUBE_TOP_LEFT,D,None,None,None,None
TUBE_TOP_LEFT,Mario,U,None,None,None,None
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Mario,COIN,D,Delete,Coin,None,None
COIN,Mario,U,Delete,Coin,None,None
Goomba,TUBE_SIDE_RIGHT,L,VelChange,Goomba,None,vx
TUBE_SIDE_RIGHT,Goomba,R,VelChange,Goomba,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Bush,BigMario,L,None,None,None,None
BigMario,Bush,R,None,None,None,None
Goomba,TUBE_SIDE_RIGHT,L,VelChange,Goomba,None,vx
TUBE_SIDE_RIGHT,Goomba,R,VelChange,Goomba,None,vx
Mario,TUBE_TOP_RIGHT,D,VelChange,Mario,None,vy
TUBE_TOP_RIGHT,Mario,U,VelChange,Mario,None,vy
Mario,Goomba,D,VelChange,Mario,None,vy
Mario,Goomba,D,Delete,Goomba,None,None
Goomba,Mario,U,VelChange,Mario,None,vy
Goomba,Mario,U,Delete,Goomba,None,None
GreenKoopa,Goomba,R,None,None,None,None
Goomba,GreenKoopa,L,None,None,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Goomba,TUBE_SIDE_LEFT,R,VelChange,Goomba,None,vx
TUBE_SIDE_LEFT,Goomba,L,VelChange,Goomba,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,TUBE_SIDE_LEFT,R,VelChange,Mario,None,vx
TUBE_SIDE_LEFT,Mario,L,VelChange,Mario,None,vx
Mario,TUBE_TOP_RIGHT,D,None,None,None,None
TUBE_TOP_RIGHT,Mario,U,None,None,None,None
GreenKoopa,BLOCK,D,VelChange,GreenKoopa,None,vy
BLOCK,GreenKoopa,U,VelChange,GreenKoopa,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,COIN,U,Delete,Coin,None,None
Mario,COIN,U,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
Mario,COIN,U,Delete,Coin,None,None
Mario,COIN,U,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
Mario,COIN,L,Delete,Coin,None,None
Mario,COIN,L,VelChange,Mario,None,vy
COIN,Mario,R,Delete,Coin,None,None
COIN,Mario,R,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
GreenKoopa,GROUND,D,VelChange,GreenKoopa,None,vy
GROUND,GreenKoopa,U,VelChange,GreenKoopa,None,vy
GreenKoopa,GROUND,D,VelChange,GreenKoopa,None,vy
GROUND,GreenKoopa,U,VelChange,GreenKoopa,None,vy
GreenKoopa,GROUND,D,VelChange,GreenKoopa,None,vy
GROUND,GreenKoopa,U,VelChange,GreenKoopa,None,vy
Mario,GreenKoopa,D,VelChange,Mario,None,vy
Mario,GreenKoopa,D,Delete,GreenKoopa,None,None
GreenKoopa,Mario,U,VelChange,Mario,None,vy
GreenKoopa,Mario,U,Delete,GreenKoopa,None,None
Shell,7,D,None,None,None,None
7,Shell,U,None,None,None,None
Shell,GROUND,D,None,None,None,None
GROUND,Shell,U,None,None,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Shell,7,D,None,None,None,None
7,Shell,U,None,None,None,None
Shell,GROUND,D,None,None,None,None
GROUND,Shell,U,None,None,None,None
Mario,BLOCK,U,Change,BLOCK,SPENT,None
Mario,BLOCK,U,append,Coin,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,Change,BLOCK,SPENT,None
BLOCK,Mario,D,append,Coin,None,None
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Mario,BLOCK,D,None,None,None,None
BLOCK,Mario,U,None,None,None,None
Mario,SPENT,D,None,None,None,None
SPENT,Mario,U,None,None,None,None
Mario,BLOCK,D,None,None,None,None
BLOCK,Mario,U,None,None,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,BLOCK,D,None,None,None,None
BLOCK,Mario,U,None,None,None,None
Mario,SPENT,D,None,None,None,None
SPENT,Mario,U,None,None,None,None
Mario,BLOCK,U,Change,BLOCK,SPENT,None
Mario,BLOCK,U,append,Coin,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,Change,BLOCK,SPENT,None
BLOCK,Mario,D,append,Coin,None,None
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,SPENT,D,VelChange,Mario,None,vy
SPENT,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,D,None,None,None,None
BLOCK,Mario,U,None,None,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
Mario,GROUND,D,Delete,Goomba,None,None
GROUND,Mario,U,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
GROUND,Mario,U,Delete,Goomba,None,None
Mario,Goomba,D,VelChange,Mario,None,vy
Mario,Goomba,D,VelChange,Mario,None,vy
Mario,Goomba,D,Delete,Goomba,None,None
Goomba,Mario,U,VelChange,Mario,None,vy
Goomba,Mario,U,VelChange,Mario,None,vy
Goomba,Mario,U,Delete,Goomba,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,L,None,None,None,None
BLOCK,Mario,R,None,None,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,U,Change,BLOCK,SPENT,None
Mario,BLOCK,U,append,Coin,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,Change,BLOCK,SPENT,None
BLOCK,Mario,D,append,Coin,None,None
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,L,VelChange,Mario,None,vx
BLOCK,Mario,R,VelChange,Mario,None,vx
Mario,BLOCK,D,VelChange,Mario,None,vy
BLOCK,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,U,Change,BLOCK,SPENT,None
Mario,BLOCK,U,append,Coin,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,Change,BLOCK,SPENT,None
BLOCK,Mario,D,append,Coin,None,None
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,BLOCK,D,None,None,None,None
BLOCK,Mario,U,None,None,None,None
Mario,SPENT,D,None,None,None,None
SPENT,Mario,U,None,None,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,None,None,None,None
GROUND,Mario,U,None,None,None,None
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy
Mario,ROCK,D,VelChange,Mario,None,vy
ROCK,Mario,U,VelChange,Mario,None,vy
Mario,RIGHT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy
RIGHT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy
Mario,ROCK,D,VelChange,Mario,None,vy
ROCK,Mario,U,VelChange,Mario,None,vy
Bush,RedKoopa,L,None,None,None,None
RedKoopa,Bush,R,None,None,None,None
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Mario,COIN,D,Delete,Coin,None,None
Mario,COIN,D,Delete,Coin,None,None
COIN,Mario,U,Delete,Coin,None,None
COIN,Mario,U,Delete,Coin,None,None
Mario,COIN,D,Delete,Coin,None,None
Mario,COIN,D,Delete,Coin,None,None
COIN,Mario,U,Delete,Coin,None,None
COIN,Mario,U,Delete,Coin,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,U,Change,BLOCK,SPENT,None
Mario,BLOCK,U,append,Coin,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,Change,BLOCK,SPENT,None
BLOCK,Mario,D,append,Coin,None,None
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,U,Change,BLOCK,SPENT,None
Mario,BLOCK,U,append,Coin,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,Change,BLOCK,SPENT,None
BLOCK,Mario,D,append,Coin,None,None
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,U,Change,BLOCK,SPENT,None
Mario,BLOCK,U,append,Mushroom,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,Change,BLOCK,SPENT,None
BLOCK,Mario,D,append,Mushroom,None,None
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,RIGHT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy
RIGHT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy
Mario,GROUND,D,None,None,None,None
GROUND,Mario,U,None,None,None,None
Mushroom,4,D,VelChange,Mushroom,None,vy
4,Mushroom,U,VelChange,Mushroom,None,vy
Mushroom,SPENT,D,VelChange,Mushroom,None,vy
SPENT,Mushroom,U,VelChange,Mushroom,None,vy
Mushroom,BLOCK,D,None,None,None,None
BLOCK,Mushroom,U,None,None,None,None
Mushroom,6,D,None,None,None,None
6,Mushroom,U,None,None,None,None
RedKoopa,Goomba,D,None,None,None,None
Goomba,RedKoopa,U,None,None,None,None
Mario,RIGHT_UP_GRASS_EDGE,D,None,None,None,None
RIGHT_UP_GRASS_EDGE,Mario,U,None,None,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,None,None,None,None
GROUND,Mario,U,None,None,None,None
Mushroom,BLOCK,D,VelChange,Mushroom,None,vy
BLOCK,Mushroom,U,VelChange,Mushroom,None,vy
Mushroom,6,D,VelChange,Mushroom,None,vy
6,Mushroom,U,VelChange,Mushroom,None,vy
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Mushroom,4,D,None,None,None,None
4,Mushroom,U,None,None,None,None
Mushroom,SPENT,D,None,None,None,None
SPENT,Mushroom,U,None,None,None,None
Mario,LEFT_UP_GRASS_EDGE,D,None,None,None,None
LEFT_UP_GRASS_EDGE,Mario,U,None,None,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,None,None,None,None
GROUND,Mario,U,None,None,None,None
Mushroom,GROUND,D,VelChange,Mushroom,None,vy
GROUND,Mushroom,U,VelChange,Mushroom,None,vy
Mushroom,7,D,VelChange,Mushroom,None,vy
7,Mushroom,U,VelChange,Mushroom,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mushroom,ROCK,L,VelChange,Mushroom,None,vx
ROCK,Mushroom,R,VelChange,Mushroom,None,vx
Mushroom,9,L,VelChange,Mushroom,None,vx
9,Mushroom,R,VelChange,Mushroom,None,vx
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,SPENT,D,None,None,None,None
SPENT,BigMario,U,None,None,None,None
BigMario,BLOCK,U,Change,BLOCK,SPENT,None
BigMario,BLOCK,U,append,Coin,None,None
BigMario,BLOCK,U,VelChange,BigMario,None,vy
BLOCK,BigMario,D,Change,BLOCK,SPENT,None
BLOCK,BigMario,D,append,Coin,None,None
BLOCK,BigMario,D,VelChange,BigMario,None,vy
BigMario,BLOCK,D,VelChange,BigMario,None,vy
BLOCK,BigMario,U,VelChange,BigMario,None,vy
BigMario,BLOCK,U,Change,BLOCK,SPENT,None
BigMario,BLOCK,U,append,Coin,None,None
BigMario,BLOCK,U,VelChange,BigMario,None,vy
BLOCK,BigMario,D,Change,BLOCK,SPENT,None
BLOCK,BigMario,D,append,Coin,None,None
BLOCK,BigMario,D,VelChange,BigMario,None,vy
BigMario,BLOCK,D,VelChange,BigMario,None,vy
BLOCK,BigMario,U,VelChange,BigMario,None,vy
BigMario,SPENT,U,VelChange,BigMario,None,vy
SPENT,BigMario,D,VelChange,BigMario,None,vy
BigMario,BLOCK,D,None,None,None,None
BLOCK,BigMario,U,None,None,None,None
BigMario,SPENT,D,None,None,None,None
SPENT,BigMario,U,None,None,None,None
BigMario,BLOCK,U,Change,BLOCK,SPENT,None
BigMario,BLOCK,U,append,Coin,None,None
BigMario,BLOCK,U,VelChange,BigMario,None,vy
BLOCK,BigMario,D,Change,BLOCK,SPENT,None
BLOCK,BigMario,D,append,Coin,None,None
BLOCK,BigMario,D,VelChange,BigMario,None,vy
BigMario,SPENT,D,None,None,None,None
SPENT,BigMario,U,None,None,None,None
BigMario,BLOCK,D,None,None,None,None
BLOCK,BigMario,U,None,None,None,None
BigMario,BLOCK,U,Change,BLOCK,SPENT,None
BigMario,BLOCK,U,append,Coin,None,None
BigMario,BLOCK,U,VelChange,BigMario,None,vy
BLOCK,BigMario,D,Change,BLOCK,SPENT,None
BLOCK,BigMario,D,append,Coin,None,None
BLOCK,BigMario,D,VelChange,BigMario,None,vy
BigMario,BLOCK,D,None,None,None,None
BLOCK,BigMario,U,None,None,None,None
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
BigMario,BLOCK,R,VelChange,BigMario,None,vx
BLOCK,BigMario,L,VelChange,BigMario,None,vx
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,Goomba,D,VelChange,BigMario,None,vy
BigMario,Goomba,D,Delete,Goomba,None,None
Goomba,BigMario,U,VelChange,BigMario,None,vy
Goomba,BigMario,U,Delete,Goomba,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,Goomba,D,VelChange,BigMario,None,vy
BigMario,Goomba,D,Delete,Goomba,None,None
Goomba,BigMario,U,VelChange,BigMario,None,vy
Goomba,BigMario,U,Delete,Goomba,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,BLOCK,R,VelChange,BigMario,None,vx
BLOCK,BigMario,L,VelChange,BigMario,None,vx
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,BLOCK,D,None,None,None,None
BLOCK,BigMario,U,None,None,None,None
BigMario,BLOCK,R,VelChange,BigMario,None,vx
BLOCK,BigMario,L,VelChange,BigMario,None,vx
BigMario,BLOCK,D,None,None,None,None
BLOCK,BigMario,U,None,None,None,None
BigMario,BLOCK,D,VelChange,BigMario,None,vy
BLOCK,BigMario,U,VelChange,BigMario,None,vy
GreenKoopa,GreenKoopa,L,None,None,None,None
GreenKoopa,GreenKoopa,R,None,None,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,BLOCK,D,None,None,None,None
BLOCK,BigMario,U,None,None,None,None
BigMario,BLOCK,U,Change,BLOCK,SPENT,None
BigMario,BLOCK,U,append,Coin,None,None
BigMario,BLOCK,U,VelChange,BigMario,None,vy
BLOCK,BigMario,D,Change,BLOCK,SPENT,None
BLOCK,BigMario,D,append,Coin,None,None
BLOCK,BigMario,D,VelChange,BigMario,None,vy
BigMario,BLOCK,D,None,None,None,None
BLOCK,BigMario,U,None,None,None,None
BigMario,BLOCK,U,Change,BLOCK,SPENT,None
BigMario,BLOCK,U,append,Coin,None,None
BigMario,BLOCK,U,VelChange,BigMario,None,vy
BLOCK,BigMario,D,Change,BLOCK,SPENT,None
BLOCK,BigMario,D,append,Coin,None,None
BLOCK,BigMario,D,VelChange,BigMario,None,vy
BigMario,BLOCK,D,VelChange,BigMario,None,vy
BLOCK,BigMario,U,VelChange,BigMario,None,vy
BigMario,BLOCK,U,Delete,16,None,None
BigMario,BLOCK,U,VelChange,BigMario,None,vy
BLOCK,BigMario,D,Delete,16,None,None
BLOCK,BigMario,D,VelChange,BigMario,None,vy
BigMario,LEFT_UP_GRASS_EDGE,D,VelChange,BigMario,None,vy
LEFT_UP_GRASS_EDGE,BigMario,U,VelChange,BigMario,None,vy
BigMario,LEFT_UP_GRASS_EDGE,R,VelChange,BigMario,None,vx
LEFT_UP_GRASS_EDGE,BigMario,L,VelChange,BigMario,None,vx
BigMario,LEFT_UP_GRASS_EDGE,R,None,None,None,None
LEFT_UP_GRASS_EDGE,BigMario,L,None,None,None,None
BigMario,ROCK,D,VelChange,BigMario,None,vy
ROCK,BigMario,U,VelChange,BigMario,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,TUBE_SIDE_LEFT,R,VelChange,BigMario,None,vx
TUBE_SIDE_LEFT,BigMario,L,VelChange,BigMario,None,vx
BigMario,TUBE_TOP_LEFT,R,VelChange,BigMario,None,vx
TUBE_TOP_LEFT,BigMario,L,VelChange,BigMario,None,vx
BigMario,TUBE_TOP_LEFT,D,VelChange,BigMario,None,vy
TUBE_TOP_LEFT,BigMario,U,VelChange,BigMario,None,vy
BigMario,TUBE_TOP_RIGHT,D,None,None,None,None
TUBE_TOP_RIGHT,BigMario,U,None,None,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,BLOCK,U,Delete,16,None,None
BigMario,BLOCK,U,VelChange,BigMario,None,vy
BLOCK,BigMario,D,Delete,16,None,None
BLOCK,BigMario,D,VelChange,BigMario,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
BigMario,BLOCK,U,Change,BLOCK,SPENT,None
BigMario,BLOCK,U,append,Coin,None,None
BigMario,BLOCK,U,VelChange,BigMario,None,vy
BLOCK,BigMario,D,Change,BLOCK,SPENT,None
BLOCK,BigMario,D,append,Coin,None,None
BLOCK,BigMario,D,VelChange,BigMario,None,vy
BigMario,GROUND,D,None,None,None,None
GROUND,BigMario,U,None,None,None,None
BigMario,SPENT,U,VelChange,BigMario,None,vy
SPENT,BigMario,D,VelChange,BigMario,None,vy
BigMario,GROUND,D,None,None,None,None
GROUND,BigMario,U,None,None,None,None
Bush,Goomba,L,None,None,None,None
Goomba,Bush,R,None,None,None,None
BigMario,GROUND,D,VelChange,BigMario,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vx
GROUND,BigMario,U,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vx
BigMario,TUBE_SIDE_LEFT,R,VelChange,BigMario,None,vy
BigMario,TUBE_SIDE_LEFT,R,VelChange,BigMario,None,vx
TUBE_SIDE_LEFT,BigMario,L,VelChange,BigMario,None,vy
TUBE_SIDE_LEFT,BigMario,L,VelChange,BigMario,None,vx
BigMario,TUBE_TOP_LEFT,R,VelChange,BigMario,None,vy
BigMario,TUBE_TOP_LEFT,R,VelChange,BigMario,None,vx
TUBE_TOP_LEFT,BigMario,L,VelChange,BigMario,None,vy
TUBE_TOP_LEFT,BigMario,L,VelChange,BigMario,None,vx
BigMario,TUBE_TOP_LEFT,D,VelChange,BigMario,None,vy
TUBE_TOP_LEFT,BigMario,U,VelChange,BigMario,None,vy
BigMario,LEFT_UP_GRASS_EDGE,R,VelChange,BigMario,None,vx
LEFT_UP_GRASS_EDGE,BigMario,L,VelChange,BigMario,None,vx
BigMario,LEFT_UP_GRASS_EDGE,D,VelChange,BigMario,None,vy
LEFT_UP_GRASS_EDGE,BigMario,U,VelChange,BigMario,None,vy
BigMario,LEFT_UP_GRASS_EDGE,D,None,None,None,None
LEFT_UP_GRASS_EDGE,BigMario,U,None,None,None,None
BigMario,LEFT_UP_GRASS_EDGE,R,VelChange,BigMario,None,vx
LEFT_UP_GRASS_EDGE,BigMario,L,VelChange,BigMario,None,vx
BigMario,LEFT_UP_GRASS_EDGE,D,VelChange,BigMario,None,vy
LEFT_UP_GRASS_EDGE,BigMario,U,VelChange,BigMario,None,vy
BigMario,RIGHT_UP_GRASS_EDGE,D,None,None,None,None
RIGHT_UP_GRASS_EDGE,BigMario,U,None,None,None,None
BigMario,LEFT_UP_GRASS_EDGE,D,VelChange,BigMario,None,vy
BigMario,LEFT_UP_GRASS_EDGE,D,VelChange,BigMario,None,vx
LEFT_UP_GRASS_EDGE,BigMario,U,VelChange,BigMario,None,vy
LEFT_UP_GRASS_EDGE,BigMario,U,VelChange,BigMario,None,vx
BigMario,LEFT_UP_GRASS_EDGE,R,VelChange,BigMario,None,vy
BigMario,LEFT_UP_GRASS_EDGE,R,VelChange,BigMario,None,vx
LEFT_UP_GRASS_EDGE,BigMario,L,VelChange,BigMario,None,vy
LEFT_UP_GRASS_EDGE,BigMario,L,VelChange,BigMario,None,vx
BigMario,LEFT_UP_GRASS_EDGE,D,None,None,None,None
LEFT_UP_GRASS_EDGE,BigMario,U,None,None,None,None
BigMario,LEFT_UP_GRASS_EDGE,R,VelChange,BigMario,None,vx
LEFT_UP_GRASS_EDGE,BigMario,L,VelChange,BigMario,None,vx
BigMario,LEFT_UP_GRASS_EDGE,D,VelChange,BigMario,None,vy
LEFT_UP_GRASS_EDGE,BigMario,U,VelChange,BigMario,None,vy
Bush,RedKoopa,U,None,None,None,None
RedKoopa,Bush,D,None,None,None,None
BigMario,ROCK,D,VelChange,BigMario,None,vy
ROCK,BigMario,U,VelChange,BigMario,None,vy
BigMario,GROUND,D,VelChange,BigMario,None,vy
GROUND,BigMario,U,VelChange,BigMario,None,vy
Bush,BigMario,R,None,None,None,None
BigMario,Bush,L,None,None,None,None
